Func;Dim;BestFO;AvgFO;CFOs;Time;SR;GC
1;10;0;0;0;0.141646;0.198582;408.233
2;10;0;0;0;0.14797;0.246845;394.6
3;10;0;0;0;0.11901;0.216249;317.633
4;10;0;33.6209;0;0.202915;0.145937;2102.67
5;10;0.000160213;16.2439;0;0.125021;0.018496;2163
6;10;0;1.17149e-07;0;2.03144;0.166325;698.933
7;10;0;0.00139682;0;0.160037;0.115546;1269.13
8;10;0;0;0;0.114857;0.123373;551.267
9;10;0.00129144;2.79045;0;0.140548;0.0510309;2163
10;10;0;0.00624544;0;0.167482;0.083536;1094.53
11;10;3.83569;39.6384;0;0.196631;0.0389939;2163
12;10;0.0288568;0.0642844;0;0.845615;0.0244657;2163
13;10;0.0362319;0.0570884;0;0.117268;0.0321201;2163
14;10;0.0371642;0.0764758;0;0.117264;0.0340109;2163
15;10;0.261428;0.367701;0;0.156891;0.059279;2163
16;10;0.648382;1.35179;0;0.15093;0.0322644;2163
17;10;0;2.20728;0;0.225285;0.0705155;2092.3
18;10;0.00942081;0.204639;0;0.215115;0.0766533;2163
19;10;8.13649e-05;0.108936;0;0.691632;0.0675923;2163
20;10;0.0189472;0.132873;0;0.172053;0.0702685;2163
20;10;0.0189472;0.132873;0;0.177181;0.0702685;2163
21;10;4.68755e-06;0.385585;0;0.265639;0.0789995;2163
22;10;0.0022201;0.0682208;0;0.268947;0.0787117;2163
23;10;329.457;329.457;0;0.464302;0.114571;2163
24;10;100.026;108.402;0;0.374192;0.0545095;2163
25;10;100.003;135.358;0;0.424307;0.0751279;2163
26;10;100.03;100.061;0;3.21812;0.0316059;2163
27;10;0.977065;71.2364;0;3.20769;0.0577022;2163
28;10;368.85;387.817;0;0.642822;0.123043;2163
29;10;221.541;222.056;0;0.994794;0.0941772;2163
30;10;462.307;468.843;0;0.602624;0.0910863;2163
1;30;0;0;0;1.08632;0.268959;626.067
2;30;0;0;0;0.91774;0.402765;476.8
3;30;0;0;0;0.71528;0.306265;351.567
4;30;0;0;0;1.61034;0.388444;1137.53
5;30;20.0656;20.1188;0;1.24797;0.0231085;2745
6;30;0;0;0;17.7275;0.257573;670.667
7;30;0;0;0;0.681089;0.422805;277.633
8;30;0;0;0;0.564376;0.10152;1393.4
9;30;6.04188;8.83867;0;1.31088;0.0626472;2745
10;30;0;0.0187373;0;0.983226;0.0881649;2646.53
11;30;765.973;1210.72;0;1.8415;0.0391184;2745
12;30;0.0926956;0.167013;0;7.71562;0.0255227;2745
13;30;0.0925783;0.126191;0;1.166;0.0418639;2745
14;30;0.154071;0.228906;0;1.16032;0.0510189;2745
15;30;1.52074;2.26304;0;1.41173;0.0757934;2745
16;30;7.37308;8.41355;0;1.4368;0.0270556;2745
17;30;63.9555;244.93;0;1.841;0.139827;2745
18;30;2.24024;7.88918;0;1.49607;0.110142;2745
19;30;2.77452;3.96307;0;6.21333;0.105426;2745
20;30;1.0583;2.88846;0;1.61339;0.0870951;2745
21;30;2.15861;76.3583;0;1.72412;0.0931425;2745
22;30;14.8936;24.7236;0;2.23928;0.0550419;2745
