f;s1;s2;s3;s4;s5;s6;s7;s8;s9;s10;s11;s12;s13;s14;s15;s16;s17;s18;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30
1-30;3.56685e+07;4.13497e+07;3.44512e+07;3.71638e+07;4.7288e+07;3.84247e+07;4.0088e+07;4.12534e+07;3.41831e+07;4.09557e+07;4.58155e+07;4.42784e+07;3.622e+07;3.63323e+07;4.18413e+07;3.93414e+07;3.75931e+07;3.75591e+07;3.88077e+07;3.73654e+07;4.0849e+07;3.65876e+07;3.51066e+07;3.89323e+07;4.65827e+07;4.0985e+07;4.32873e+07;4.07013e+07;4.0687e+07;4.01947e+07
2-30;1.748e+09;1.84449e+09;1.95805e+09;1.95322e+09;1.81706e+09;1.90402e+09;1.85686e+09;1.92183e+09;1.8498e+09;1.82743e+09;1.73677e+09;1.93728e+09;2.04016e+09;1.98082e+09;1.98696e+09;2.00129e+09;1.88942e+09;1.82858e+09;1.97161e+09;1.66886e+09;1.86549e+09;1.87867e+09;1.90265e+09;1.95269e+09;1.68894e+09;1.97493e+09;1.97585e+09;1.68651e+09;1.94964e+09;1.6688e+09
3-30;19520.1;18371.4;13551.3;19391.4;18905.6;18934.6;15952.2;17613.9;12762.1;16675.8;14487.3;14426.3;16235.1;15349.9;20467.5;18216;17611.6;18198.4;19570.1;14767.6;19358.6;15966.8;17221.2;16752.4;18757;17485.9;16140.1;15764.5;18504.5;15206
4-30;210.274;203.348;147.868;179.236;146.56;163.887;193.461;174.732;192.885;156.321;216.601;181.813;177.158;194.603;165.947;181.852;166.784;173.914;177.01;148.842;166.654;167.726;228.297;167.778;205.115;195.665;157.594;199.512;191.757;155.082
5-30;20.1622;20.1425;20.1396;20.1417;20.1424;20.1646;20.1648;20.1547;20.1641;20.1493;20.1388;20.1521;20.1288;20.1531;20.1473;20.1505;20.1437;20.1395;20.1529;20.1547;20.163;20.1423;20.1618;20.1454;20.147;20.145;20.1336;20.1676;20.1435;20.1563
6-30;8.55965;8.86806;9.15791;9.10253;8.964;8.14709;9.1265;9.75183;8.9261;8.82868;10.2271;8.74741;8.99721;8.98171;8.71567;9.08179;9.54348;8.79625;8.9174;8.73876;8.24092;9.71563;9.03326;9.56915;8.09834;9.14698;10.1347;9.3125;8.88902;9.28729
7-30;26.8549;28.6132;28.374;23.7678;27.0425;28.7054;27.248;30.6563;27.7062;28.7589;29.8651;29.7457;28.2973;29.2475;23.9679;30.064;27.2739;29.9806;28.903;27.3657;31.1857;29.5759;28.771;29.6149;28.1656;27.4926;27.9089;30.1371;30.8361;25.9392
8-30;44.3177;43.9038;44.1401;45.346;43.2127;46.1139;44.7973;44.3334;44.4004;45.4568;44.8433;44.3845;43.124;44.647;44.3893;43.8355;44.8512;45.5448;43.7524;44.4327;45.4837;42.931;44.648;45.2597;42.5575;45.1934;45.0682;43.1962;43.7702;45.3685
9-30;20.095;22.0737;20.0809;22.6285;18.926;22.3541;20.4535;20.3596;20.146;20.0386;18.768;17.8432;19.4519;21.9068;20.1766;17.8044;19.5557;22.6794;20.4292;19.3464;21.8696;20.9626;22.9362;22.4745;22.1772;20.4278;22.9599;23.0848;22.6093;21.1445
10-30;606.678;607.84;606.652;621.454;606.95;593.794;629.48;621.064;609.886;600.686;611.793;629.551;602.101;604.724;616.78;621.849;612.299;607.687;581.546;565.077;599.71;594.025;630.042;622.297;634.953;593.465;603.423;597.751;558.598;623.211
11-30;1831.97;1446.48;1725.11;1564.8;1570.46;1587.06;1533.8;1509.94;1386.64;1631.29;1629.82;1561.33;1646.22;1522.44;1634.16;1736.39;1622.43;1831.97;1446.48;1725.11;1564.8;1570.46;1587.06;1533.8;1509.94;1386.64;1631.29;1629.82;1561.33;1646.22
12-30;0.262372;0.251205;0.283771;0.269302;0.30597;0.274981;0.28848;0.268059;0.230662;0.274644;0.27512;0.280395;0.286851;0.277659;0.254753;0.246046;0.282875;0.301685;0.254139;0.278938;0.290684;0.272617;0.304905;0.262965;0.274299;0.290102;0.272397;0.262415;0.270096;0.250175
13-30;0.125497;0.151728;0.135902;0.113046;0.137215;0.15613;0.140121;0.123102;0.127018;0.136339;0.162598;0.124921;0.147259;0.147375;0.125497;0.151728;0.135902;0.113046;0.137215;0.15613;0.140121;0.123102;0.127018;0.136339;0.162598;0.124921;0.147259;0.147375;0.125497;0.151728
14-30;0.512085;0.485235;0.448052;0.558744;0.513924;0.511508;0.440805;0.518087;0.562465;0.505963;0.516531;0.506662;0.501248;0.492383;0.509068;0.50015;0.538246;0.498614;0.51929;0.558524;0.469581;0.447278;0.497256;0.470344;0.511095;0.506887;0.482547;0.47575;0.519507;0.44005
15-30;1903.28;1119.3;2369.81;857.146;1837.05;1966.44;1670.45;1806.22;1481.63;1148.92;1429.71;1687.47;1620.84;1528.45;1644.26;2471.35;1644.13;2084.47;2371.53;1830.9;2086.37;1255.84;1398.51;1892.77;2267.37;1138.88;1569.6;1357.55;1520.05;1635.49
16-30;8.40854;7.79806;7.91334;8.19978;8.01848;8.13971;8.31347;8.49577;8.1153;7.93252;8.22304;8.77822;8.45854;8.83394;8.14101;8.61408;8.40888;8.23624;7.73251;8.04745;8.20223;8.321;8.13928;8.35929;8.28183;8.96409;8.46725;8.16856;8.41455;8.31751
17-30;132957;105381;146931;131094;151915;140252;98617.8;113149;124528;148490;106227;131724;110666;93553.6;113730;107357;107007;124223;114919;116594;120424;108088;113671;60977.3;102875;84348;125226;157937;120937;115652
18-30;3.293e+06;2.69184e+06;3.00002e+06;2.8432e+06;2.7198e+06;3.41197e+06;3.14627e+06;2.09529e+06;2.30842e+06;2.17726e+06;2.64786e+06;2.53085e+06;2.47384e+06;2.63823e+06;2.96026e+06;2.20069e+06;3.03196e+06;1.86962e+06;2.5502e+06;2.19335e+06;2.48483e+06;3.20378e+06;2.88608e+06;3.11321e+06;2.71008e+06;2.99927e+06;2.45807e+06;3.1347e+06;2.6347e+06;2.20817e+06
19-30;4.83334;4.68642;4.80113;5.33858;4.16575;4.9003;3.86894;4.92186;4.21573;5.07654;5.01472;3.94756;5.46115;4.34155;5.26811;5.22883;4.21825;4.19275;3.47645;5.3468;4.73122;3.94602;4.93569;5.37248;5.5726;4.66793;3.95033;5.82029;4.74056;5.37039
20-30;731.586;660.426;324.481;932.877;272.07;685.522;366.866;728.997;650.134;1548.85;526.644;1486.48;985.409;529.041;569.703;710.539;1147.13;396.627;540.096;1018.79;830.719;1166.15;646.627;614.41;607.78;990.479;838.536;1435.95;619.274;576.827
21-30;39092.6;43546.2;46470.7;44187.5;40787.5;51135.2;45966.9;36611.7;36678.3;25015.9;30890.4;49001.8;31829.7;29835.8;46189.6;34616.8;18428.6;26577.3;46860.6;43753.1;36774.7;28884;44393.2;35116.2;42875.1;39682;53461.7;39035.7;36257.8;31392.4
22-30;46.4499;48.1095;54.1259;51.051;49.4266;49.4574;50.4337;36.9782;45.1204;46.8255;51.5988;46.9662;52.0313;50.6695;52.0709;53.8205;61.8609;58.3985;65.4002;53.9461;62.2941;57.4522;47.2079;46.9425;54.881;48.8366;55.4675;52.3274;45.7589;62.1287
23-30;316.099;316.056;316.123;316.001;316.112;315.976;316.102;316.047;316.098;316.062;316.193;316.037;316.103;316.118;316.212;316.12;316.078;316.057;316.118;316.063;316.097;316.228;316.009;316.103;316.06;316.051;316.069;315.988;315.986;316.06
24-30;223.248;228.177;226.215;222.308;228.187;222.717;230.217;226.65;226.303;224.996;224.4;226.779;222.206;226.766;224.596;224.195;225.741;222.716;225.114;223.848;224.387;228.265;226.328;224.361;223.464;222.386;224.326;228.178;224.941;228.156
25-30;202.865;202.864;202.834;202.802;202.809;202.899;202.901;202.902;202.782;202.847;202.843;202.931;202.846;202.888;202.898;202.799;202.781;202.874;202.856;202.785;202.871;202.803;202.819;202.766;202.785;202.786;202.743;202.817;202.807;202.8
26-30;100.107;100.157;100.142;100.141;100.111;100.125;100.144;100.159;100.105;100.134;100.134;100.134;100.135;100.14;100.107;100.128;100.128;100.148;100.138;100.116;100.137;100.122;100.129;100.135;100.164;100.147;100.13;100.121;100.149;100.124
27-30;306.964;306.858;307.469;307.427;307.725;307.564;306.777;307.018;307.67;307.16;305.131;308.136;307.365;305.648;307.615;306.915;307.552;307.523;307.985;307.698;307.52;307.506;306.788;308.161;307.44;307.453;307.988;307.164;306.523;307.191
28-30;864.551;859.637;866.947;867.433;857.174;862.768;863.393;871.795;866.579;864.551;859.637;866.947;867.433;857.174;862.768;863.393;871.795;866.579;864.551;859.637;866.947;867.433;857.174;862.768;863.393;871.795;866.579;864.551;859.637;866.947
29-30;227124;254049;270918;189078;234821;238173;207592;276759;288189;264049;254510;281494;263115;197470;183991;185442;248276;278707;95927.3;296285;228694;200111;284646;336529;205187;246926;202333;217442;221173;167967
30-30;3884.55;5532.82;3561.58;7532.37;5753.55;5775.8;6562.1;3153.69;6564.16;4659.38;5463.26;6657.26;6254.75;4531.6;5764.62;4819.16;6766.37;6135.79;5375.91;6823.15;4636.51;5157.67;4369.45;5240.84;5681.75;4173.06;4733.65;5596.05;6866.78;3824.08
1-30;4.09304e+07;3.09349e+07;4.0455e+07;3.34754e+07;3.49117e+07;3.51609e+07;3.68777e+07;3.49911e+07;3.48635e+07;3.79188e+07;3.15059e+07;4.02972e+07;3.66948e+07;3.23214e+07;3.61086e+07;3.97903e+07;4.15007e+07;3.67398e+07;3.32385e+07;3.49299e+07;3.88084e+07;3.31561e+07;3.48978e+07;3.48613e+07;3.51812e+07;3.36647e+07;3.46924e+07;3.7174e+07;3.31713e+07;4.01124e+07
2-30;1.779e+09;1.87226e+09;1.9798e+09;1.91638e+09;1.97969e+09;1.89445e+09;1.9391e+09;1.88607e+09;1.75041e+09;1.7669e+09;1.75415e+09;1.76868e+09;1.7923e+09;1.90691e+09;1.93845e+09;2.0102e+09;1.77747e+09;2.04004e+09;1.89775e+09;1.92592e+09;1.84931e+09;1.90182e+09;1.90271e+09;1.98851e+09;1.94875e+09;1.89786e+09;1.91964e+09;1.76962e+09;1.89766e+09;1.91167e+09
3-30;15923.3;19107.4;16395;16328.6;17670;16130.3;17692.9;17181.1;15645.5;15846.9;16134.8;16977.5;18417.6;17235.1;16767.9;17551.1;18354.7;12465.8;18072.4;18488.1;15555.2;15973.1;16618.7;17036.5;17027.4;16944.9;17023.9;16728.4;17569.2;14979.9
4-30;114.928;161.106;151.213;180.968;117.077;166.486;130.158;91.2236;140.289;119.448;145.051;162.368;159.373;165.109;120.661;163.089;130.493;150.799;141.094;157.24;124.686;154.626;70.5245;142.783;134.515;139.441;148.562;124.087;151.04;122.501
5-30;20.331;20.3552;20.3262;20.3335;20.318;20.3762;20.3722;20.321;20.3311;20.3412;20.3392;20.3208;20.3258;20.36;20.3276;20.3455;20.3522;20.3514;20.3538;20.3187;20.3219;20.4581;20.3301;20.3624;20.3913;20.3296;20.3972;20.3361;20.3194;20.3633
6-30;8.77165;9.13344;8.09921;9.67698;8.07936;8.37371;9.19793;8.33181;8.87011;8.39588;8.60031;8.73639;9.26924;9.33048;8.95494;8.46808;8.60364;8.96911;9.03006;8.49148;7.35468;9.10309;9.29465;8.08507;9.66925;9.66837;8.39219;9.02863;9.69247;9.004
7-30;29.3387;28.8439;27.8848;30.0483;27.3156;31.1838;27.9819;25.2573;29.3946;27.9938;28.6874;29.7175;24.4232;27.5367;27.1917;28.7813;29.3412;27.355;28.6809;29.4975;27.6065;29.2868;28.5625;30.0727;29.6549;25.3611;30.1233;25.8994;31.3651;29.9749
8-30;43.8941;45.863;45.3976;43.4961;44.5163;46.2049;44.9853;42.8825;43.0098;46.6556;46.0042;48.5728;45.7499;45.3028;44.3659;44.3463;42.5866;43.5353;45.9351;43.7219;44.4594;46.8401;46.2253;45.4821;47.2947;43.7683;44.8116;45.4408;45.1732;42.2357
9-30;44.7439;42.4449;48.2199;46.1117;47.3951;44.5065;43.8131;45.319;45.5646;47.8782;41.4415;45.4418;44.9208;45.0836;47.3604;44.7489;44.2994;47.1136;43.4627;44.6218;45.4857;45.5388;43.6066;45.1568;43.9389;45.3122;44.4715;48.1633;45.0969;48.6528
10-30;780.037;714.84;729.779;763.325;712.565;768.48;767.443;737.592;740.126;753.107;799.822;785.541;718.69;742.198;710.848;708.46;795.346;768.281;713.24;691.018;772.576;732.68;725.802;728.002;723.634;777.568;723.685;706.738;791.836;794.02
11-30;2581.13;2551.04;2668.24;2633.57;2918.88;2664.02;2823.17;2855.42;2408.01;3089.46;2685.31;2522.7;2723.77;2453.45;2369.8;2565.14;2837.56;2372.06;2650.13;2380.08;2733.6;2873.74;2804.81;2823.05;2579.86;2588.36;2638.03;2478.51;2937.52;2367.3
12-30;0.618536;0.54952;0.554764;0.605901;0.607024;0.708555;0.629837;0.603008;0.5398;0.687996;0.56024;0.562552;0.657021;0.584683;0.570724;0.529938;0.646801;0.568575;0.541243;0.569163;0.642419;0.617399;0.560803;0.587107;0.630555;0.57773;0.612978;0.567529;0.655713;0.604212
13-30;0.204683;0.217206;0.213148;0.191218;0.201928;0.23055;0.22406;0.218146;0.216591;0.212985;0.210364;0.198166;0.181266;0.208939;0.211988;0.20844;0.194467;0.180015;0.184226;0.223855;0.224828;0.219582;0.221017;0.190375;0.257987;0.198596;0.229599;0.204068;0.202671;0.229251
