Func;Dim;BestFO;AvgFO;CFOs;Time;SR;GC;DMAtv;BR;PC
1;10;0;0;0;0.237981;0;0;0;-1;-6.74584e+237
2;10;0;0;0;0.257386;0;0;0;-1;-1.6714e+179
3;10;0;0;0;0.196738;0;0;0;-1;-4.75038e+182
4;10;0;24.3462;0;0.320903;0;0;0;-1;-3.05113e+175
5;10;1.78991;14.5734;0;0.197503;0;0;0;-1;-3.09129e+276
6;10;0;0;0;2.29261;0;0;0;-1;-5.37127e+156
7;10;0;0.00156044;0;0.258012;0;0;0;-1;-5.87759e+233
8;10;0;0;0;0.185238;0;0;0;-1;-2.3026e+198
9;10;1.99066;3.086;0;0.222505;0;0;0;-1;-2.42116e+209
10;10;0;0.00624544;0;0.254615;0;0;0;-1;-4.90919e+288
11;10;10.1675;44.3523;0;0.270226;0;0;0;-1;-5.8107e+179
12;10;0.0343335;0.0620752;0;0.9518;0;0;0;-1;-9.0764e+228
13;10;0.0319547;0.057285;0;0.196935;0;0;0;-1;-6.69375e+244
14;10;0.0568683;0.0786306;0;0.181715;0;0;0;-1;-2.06291e+276
15;10;0.308107;0.433967;0;0.243258;0;0;0;-1;-7.28646e+198
16;10;0.988328;1.26835;0;0.2232;0;0;0;-1;-1.03259e+243
17;10;0.208143;2.56559;0;0.382901;0;0;0;-1;-2.4743e+221
18;10;0.0326834;0.196477;0;0.353593;0;0;0;-1;-2.93268e+154
19;10;0.0312757;0.171339;0;0.818994;0;0;0;-1;-3.34741e+299
20;10;0.0649932;0.151012;0;0.288434;0;0;0;-1;-6.37441e+191
21;10;0.00458598;0.515906;0;0.470715;0;0;0;-1;-2.08994e+304
22;10;0.0265938;0.0748919;0;0.389861;0;0;0;-1;-9.89307e+168
23;10;329.457;329.457;0;0.656186;0;0;0;-1;-1.46288e+301
24;10;105.14;108.637;0;0.509906;0;0;0;-1;-2.97769e+164
25;10;100;135.067;0;0.588135;0;0;0;-1;-1.19455e+191
26;10;100.032;100.058;0;3.60712;0;0;0;-1;-2.2037e+265
27;10;0.774787;34.6761;0;3.57354;0;0;0;-1;-9.1279e+274
28;10;368.85;393.208;0;0.904264;0;0;0;-1;-1.6919e+248
29;10;221.541;222.162;0;1.38212;0;0;0;-1;-4.02741e+218
30;10;462.307;466.322;0;0.879133;0;0;0;-1;-2.93739e+209
