Func;Dim;BestFO;AvgFO;CFOs;Time;SR;GC;DMAtv;BR;PC
1;10;0;0;0;0.151357;0;0;0;-1;-2.89003e+238
2;10;0;0;0;0.159615;0;0;0;-1;-1.25283e+280
3;10;0;0;0;0.130939;0;0;0;-1;-7.80945e+294
4;10;34.7803;34.7803;0;0.225967;0;0;0;-1;-1.79697e+261
5;10;2.35968;17.6543;0;0.14356;0;0;0;-1;-1.94551e+211
6;10;0;0;0;2.08668;0;0;0;-1;-4.99573e+154
7;10;0;0.00410372;0;0.197121;0;0;0;-1;-8.66076e+291
8;10;0;0;0;0.124143;0;0;0;-1;-6.84721e+224
9;10;0.995614;2.65517;0;0.170123;0;0;0;-1;-6.46339e+194
10;10;0;0;0;0.182268;0;0;0;-1;-4.02863e+289
11;10;3.95148;18.2092;0;0.222734;0;0;0;-1;-4.49488e+304
12;10;0.0312028;0.0695221;0;0.94031;0;0;0;-1;-3.75508e+256
13;10;0.0513791;0.0635371;0;0.152629;0;0;0;-1;-4.42419e+260
14;10;0.0520505;0.102252;0;0.14253;0;0;0;-1;-2.94919e+290
15;10;0.320753;0.40426;0;0.186388;0;0;0;-1;-2.67496e+196
16;10;1.02754;1.27425;0;0.171331;0;0;0;-1;-2.75772e+183
17;10;0;3.2907;0;0.24813;0;0;0;-1;-2.39567e+249
18;10;0.00350858;0.105973;0;0.240443;0;0;0;-1;-1.94598e+215
19;10;0.0296683;0.109882;0;0.77674;0;0;0;-1;-8.33209e+248
20;10;0.0206372;0.0971728;0;0.213879;0;0;0;-1;-8.66101e+266
21;10;0.000430503;0.287222;0;0.377183;0;0;0;-1;-1.99482e+287
22;10;0.0105453;0.0524667;0;0.338057;0;0;0;-1;-2.40562e+173
23;10;329.457;329.457;0;0.546941;0;0;0;-1;-2.97708e+196
24;10;105.141;108.556;0;0.43015;0;0;0;-1;-8.56455e+251
25;10;100.005;122.888;0;0.488162;0;0;0;-1;-8.68315e+201
