Func;Dim;BestFO;AvgFO;CFOs;Time;SR;GC;DMAtv;BR;PC
1;10;0;0;0;0.253868;0;0;0;-1;-4.05072e+281
2;10;0;0;0;0.296419;0;0;0;-1;-2.01955e+300
3;10;0;0;0;0.210548;0;0;0;-1;-5.02904e+154
4;10;0;33.6209;0;0.406589;0;0;0;-1;-2.5232e+174
5;10;0.00130679;17.3349;0;0.21665;0;0;0;-1;-6.6884e+180
6;10;0;0;0;2.40363;0;0;0;-1;-3.71445e+264
7;10;0;1.67793e-06;0;0.266935;0;0;0;-1;-4.02464e+173
8;10;0;0;0;0.205154;0;0;0;-1;-7.79277e+176
9;10;0.994959;2.71955;0;0.303605;0;0;0;-1;-5.52983e+247
10;10;0;0;0;0.27265;0;0;0;-1;-7.37018e+243
11;10;3.47742;20.9919;0;0.337978;0;0;0;-1;-inf
12;10;0.00550865;0.0419751;0;1.07556;0;0;0;-1;-6.23087e+265
13;10;0.0243203;0.0556828;0;0.218141;0;0;0;-1;-2.36087e+190
14;10;0.0245721;0.0757496;0;0.206181;0;0;0;-1;-1.8546e+181
15;10;0.264622;0.354125;0;0.29506;0;0;0;-1;-3.34176e+193
16;10;0.613952;0.987862;0;0.260192;0;0;0;-1;-6.19686e+302
17;10;0.208143;1.34186;0;0.425469;0;0;0;-1;-1.5789e+193
18;10;0.00678481;0.342135;0;0.408134;0;0;0;-1;-1.34097e+224
19;10;0.010865;0.123292;0;0.913122;0;0;0;-1;-4.43463e+285
20;10;0.0617938;0.116152;0;0.309385;0;0;0;-1;-1.80439e+242
21;10;0.0107754;0.498188;0;0.524403;0;0;0;-1;-8.46024e+162
22;10;0.0206866;0.0698349;0;0.396196;0;0;0;-1;-4.22314e+162
23;10;329.457;329.457;0;0.656551;0;0;0;-1;-9.95916e+245
24;10;106.76;109.17;0;0.534596;0;0;0;-1;-2.52267e+163
25;10;100;147.659;0;0.679724;0;0;0;-1;-5.55454e+200
26;10;100.022;100.053;0;3.63682;0;0;0;-1;-2.82542e+295
27;10;0.989924;94.4434;0;3.6914;0;0;0;-1;-3.9078e+211
28;10;356.827;391.417;0;0.862916;0;0;0;-1;-5.17769e+275
29;10;221.54;222.075;0;1.32481;0;0;0;-1;-1.47623e+207
30;10;462.307;466.289;0;0.898015;0;0;0;-1;-1.18775e+239
