Func;Dim;BestFO;AvgFO;CFOs;Time;SR;GC;DMAtv;BR;PC
1;10;0;0;0;0.149987;0;0;0;-1;-2.85636e+292
2;10;0;0;0;0.162161;0;0;0;-1;-3.77388e+224
3;10;0;0;0;0.125581;0;0;0;-1;-4.11261e+297
4;10;34.7803;34.7803;0;0.235047;0;0;0;-1;-8.35592e+298
5;10;19.6826;19.9493;0;0.149051;0;0;0;-1;-2.31007e+306
6;10;0;0;0;2.08765;0;0;0;-1;-8.97451e+198
7;10;0;0;0;0.159393;0;0;0;-1;-2.29617e+190
8;10;0;0;0;0.125468;0;0;0;-1;-1.70192e+233
9;10;1.98992;2.65323;0;0.197863;0;0;0;-1;-3.07681e+302
10;10;0;0;0;0.190207;0;0;0;-1;-2.35348e+157
11;10;6.95483;31.457;0;0.255325;0;0;0;-1;-4.48726e+188
12;10;0.00457431;0.0374311;0;0.945241;0;0;0;-1;-5.68128e+165
13;10;0.0376087;0.0561311;0;0.15166;0;0;0;-1;-1.99304e+242
14;10;0.0264128;0.0718289;0;0.146877;0;0;0;-1;-1.02243e+297
15;10;0.305781;0.397734;0;0.205545;0;0;0;-1;-1.92632e+181
16;10;0.289124;0.938893;0;0.196093;0;0;0;-1;-8.76847e+266
17;10;0.208143;1.98029;0;0.296902;0;0;0;-1;-3.25649e+244
18;10;0.0082034;0.345914;0;0.262549;0;0;0;-1;-2.17104e+258
19;10;0.0295314;0.161616;0;0.771113;0;0;0;-1;-2.16036e+228
20;10;0.022268;0.0765427;0;0.222303;0;0;0;-1;-5.81705e+207
21;10;0.000250237;0.406914;0;0.315507;0;0;0;-1;-7.88467e+163
22;10;0.0209335;0.0585048;0;0.318431;0;0;0;-1;-2.36775e+154
23;10;329.457;329.457;0;0.52447;0;0;0;-1;-2.62712e+287
24;10;106.595;109.099;0;0.449126;0;0;0;-1;-2.24536e+181
25;10;100;141.542;0;0.488473;0;0;0;-1;-4.15255e+247
26;10;100.007;100.05;0;3.50348;0;0;0;-1;-3.41545e+192
27;10;0.756603;44.5005;0;3.50699;0;0;0;-1;-6.7533e+161
28;10;369.371;378.283;0;0.700167;0;0;0;-1;-1.57624e+227
29;10;221.538;222.114;0;1.14926;0;0;0;-1;-5.61335e+263
30;10;462.307;467.708;0;0.683316;0;0;0;-1;-1.05866e+275
