Func;Dim;BestFO;AvgFO;CFOs;Time;SR;GC;DMAtv;BR;PC
1;10;0;0;0;0.502997;0;0;0;-1;4.42683e-321
2;10;0;0;0;0.492883;0;0;0;-1;4.42683e-321
3;10;0;0;0;0.483409;0;0;0;-1;4.42683e-321
4;10;0;29.1281;0;0.508655;0;0;0;-1;4.42683e-321
5;10;0;13.376;0;0.54708;0;0;0;-1;4.42683e-321
6;10;0;0;0;5.75186;0;0;0;-1;4.42683e-321
7;10;0;0;0;0.525616;0;0;0;-1;4.42683e-321
8;10;0;0;0;0.418836;0;0;0;-1;4.42683e-321
9;10;0;0.199015;0;0.514629;0;0;0;-1;4.42683e-321
10;10;0;0.217923;0;0.58335;0;0;0;-1;4.42683e-321
11;10;0.175918;6.62964;0;0.635636;0;0;0;-1;4.42683e-321
12;10;0.00324961;0.0561798;0;2.07072;0;0;0;-1;4.42683e-321
13;10;0.00284918;0.0373708;0;0.50198;0;0;0;-1;4.42683e-321
14;10;0.0190668;0.072397;0;0.498927;0;0;0;-1;4.42683e-321
15;10;0.275928;0.433778;0;0.550575;0;0;0;-1;4.42683e-321
16;10;0.0985573;0.372622;0;0.526999;0;0;0;-1;4.42683e-321
17;10;0.208143;11.1246;0;0.578418;0;0;0;-1;4.42683e-321
18;10;1.22667e-05;0.0362761;0;0.534627;0;0;0;-1;4.42683e-321
19;10;9.09495e-13;0.00834506;0;1.63192;0;0;0;-1;4.42683e-321
20;10;4.62501e-05;0.261761;0;0.56389;0;0;0;-1;4.42683e-321
21;10;1.362e-05;0.713882;0;0.56657;0;0;0;-1;4.42683e-321
22;10;1.88841e-06;0.0127836;0;0.784558;0;0;0;-1;4.42683e-321
23;10;329.457;329.457;0;1.13392;0;0;0;-1;4.42683e-321
24;10;100;101.437;0;1.05195;0;0;0;-1;4.42683e-321
25;10;100;118.614;0;1.102;0;0;0;-1;4.42683e-321
26;10;100.005;100.044;0;7.40897;0;0;0;-1;4.42683e-321
27;10;0.394545;67.2619;0;7.03475;0;0;0;-1;4.42683e-321
28;10;356.827;391.748;0;1.43013;0;0;0;-1;4.42683e-321
29;10;221.541;221.854;0;2.16576;0;0;0;-1;4.42683e-321
30;10;462.307;471.712;0;1.41718;0;0;0;-1;4.42683e-321
