Func;Dim;BestFO;AvgFO;CFOs;Time;SR;GC;DMAtv;BR;PC
1;10;1.97626e-323;1.97626e-323;0;0;0;0;0;-1;6.95135e-310
2;10;1.97626e-323;1.97626e-323;0;0;0;0;0;-1;6.16914e-310
3;10;1.97626e-323;1.97626e-323;0;0;0;0;0;-1;6.15311e-310
4;10;1.97626e-323;1.97626e-323;0;0;0;0;0;-1;6.28509e-310
5;10;1.97626e-323;1.97626e-323;0;0;0;0;0;-1;6.62718e-310
6;10;1.97626e-323;1.97626e-323;0;0;0;0;0;-1;6.19563e-310
7;10;1.97626e-323;1.97626e-323;0;0;0;0;0;-1;6.66015e-310
8;10;1.97626e-323;1.97626e-323;0;0;0;0;0;-1;6.2032e-310
9;10;1.97626e-323;1.97626e-323;0;0;0;0;0;-1;6.40414e-310
10;10;1.97626e-323;1.97626e-323;0;0;0;0;0;-1;6.21348e-310
11;10;1.97626e-323;1.97626e-323;0;0;0;0;0;-1;6.41544e-310
12;10;1.97626e-323;1.97626e-323;0;0;0;0;0;-1;6.87641e-310
13;10;1.97626e-323;1.97626e-323;0;0;0;0;0;-1;6.37645e-310
14;10;1.97626e-323;1.97626e-323;0;0;0;0;0;-1;6.79599e-310
15;10;1.97626e-323;1.97626e-323;0;0;0;0;0;-1;6.71756e-310
16;10;1.97626e-323;1.97626e-323;0;0;0;0;0;-1;6.22963e-310
17;10;1.97626e-323;1.97626e-323;0;0;0;0;0;-1;6.82381e-310
18;10;1.97626e-323;1.97626e-323;0;0;0;0;0;-1;6.30732e-310
19;10;1.97626e-323;1.97626e-323;0;0;0;0;0;-1;6.69719e-310
20;10;1.97626e-323;1.97626e-323;0;0;0;0;0;-1;6.87235e-310
21;10;1.97626e-323;1.97626e-323;0;0;0;0;0;-1;6.77893e-310
22;10;1.97626e-323;1.97626e-323;0;0;0;0;0;-1;6.6965e-310
23;10;1.97626e-323;1.97626e-323;0;0;0;0;0;-1;6.16561e-310
24;10;1.97626e-323;1.97626e-323;0;0;0;0;0;-1;6.29677e-310
25;10;1.97626e-323;1.97626e-323;0;0;0;0;0;-1;6.86173e-310
26;10;1.97626e-323;1.97626e-323;0;0;0;0;0;-1;6.42303e-310
27;10;1.97626e-323;1.97626e-323;0;0;0;0;0;-1;6.17058e-310
28;10;1.97626e-323;1.97626e-323;0;0;0;0;0;-1;6.812e-310
29;10;1.97626e-323;1.97626e-323;0;0;0;0;0;-1;6.18486e-310
30;10;1.97626e-323;1.97626e-323;0;0;0;0;0;-1;6.08564e-310
1;10;1.97626e-323;1.97626e-323;0;0;0;0;0;-1;6.36955e-310
2;10;1.97626e-323;1.97626e-323;0;0;0;0;0;-1;6.22081e-310
3;10;1.97626e-323;1.97626e-323;0;0;0;0;0;-1;6.46969e-310
4;10;1.97626e-323;1.97626e-323;0;0;0;0;0;-1;6.35707e-310
5;10;1.97626e-323;1.97626e-323;0;0;0;0;0;-1;6.68467e-310
6;10;1.97626e-323;1.97626e-323;0;0;0;0;0;-1;6.25508e-310
7;10;1.97626e-323;1.97626e-323;0;0;0;0;0;-1;6.3087e-310
8;10;1.97626e-323;1.97626e-323;0;0;0;0;0;-1;6.43675e-310
9;10;1.97626e-323;1.97626e-323;0;0;0;0;0;-1;6.85936e-310
10;10;1.97626e-323;1.97626e-323;0;0;0;0;0;-1;6.1861e-310
11;10;1.97626e-323;1.97626e-323;0;0;0;0;0;-1;6.73033e-310
12;10;1.97626e-323;1.97626e-323;0;0;0;0;0;-1;6.11842e-310
13;10;1.97626e-323;1.97626e-323;0;0;0;0;0;-1;6.57317e-310
14;10;1.97626e-323;1.97626e-323;0;0;0;0;0;-1;6.94324e-310
