Func;Dim;BestFO;AvgFO;CFOs;Time;SR;GC;DMAtv;BR;PC
1;30;0;0;0;1.58999;0;0;0;-1;6.86942e-310
2;30;0;0;0;1.40284;0;0;0;-1;6.35659e-310
3;30;0;0;0;0.962494;0;0;0;-1;6.50367e-310
4;30;0;3.97168;0;2.38431;0;0;0;-1;6.37397e-310
5;30;20.0607;20.1137;0;1.34466;0;0;0;-1;6.08449e-310
6;30;0;0.367945;0;21.0126;0;0;0;-1;6.34787e-310
7;30;0;0;0;0.947478;0;0;0;-1;6.30505e-310
8;30;0;0.0442714;0;0.779028;0;0;0;-1;6.20567e-310
9;30;3.97988;8.27033;0;1.49559;0;0;0;-1;6.8577e-310
10;30;0;0.0159614;0;1.20919;0;0;0;-1;6.35754e-310
11;30;255.571;1104.1;0;1.99046;0;0;0;-1;6.15733e-310
12;30;0.0954031;0.148108;0;7.86552;0;0;0;-1;6.37028e-310
13;30;0.0998191;0.127865;0;1.23688;0;0;0;-1;6.39124e-310
14;30;0.165135;0.233176;0;1.25702;0;0;0;-1;6.71444e-310
15;30;1.68184;2.17373;0;1.59509;0;0;0;-1;6.85448e-310
16;30;6.31836;7.90083;0;1.55666;0;0;0;-1;6.20098e-310
17;30;79.8057;235.135;0;2.7003;0;0;0;-1;6.40463e-310
18;30;3.41017;8.26306;0;2.05265;0;0;0;-1;6.74445e-310
19;30;3.26678;3.96663;0;6.43456;0;0;0;-1;6.11495e-310
20;30;0.893551;3.25288;0;2.2961;0;0;0;-1;6.71135e-310
21;30;2.59449;118.499;0;2.28131;0;0;0;-1;6.10712e-310
22;30;21.1211;26.8878;0;2.40043;0;0;0;-1;6.71594e-310
23;30;315.244;315.244;0;5.60988;0;0;0;-1;6.91025e-310
24;30;221.748;224.124;0;3.82688;0;0;0;-1;6.6365e-310
25;30;202.517;202.609;0;5.05382;0;0;0;-1;6.60959e-310
26;30;100.098;100.124;0;30.9438;0;0;0;-1;6.39529e-310
27;30;300;300;0;30.6116;0;0;0;-1;6.58648e-310
28;30;830.163;852.999;0;7.54502;0;0;0;-1;6.48592e-310
29;30;713.339;716.092;0;10.583;0;0;0;-1;6.83284e-310
30;30;812.813;2436.69;0;6.25923;0;0;0;-1;6.73995e-310
