Func;Dim;BestFO;AvgFO;CFOs;Time;SR;GC;DMAtv;BR;PC
1;30;602.125;12864.4;0;16.6796;0;0;0;-1;7.90505e-323
2;30;8.03198e-11;5.11492e-09;0;11.0201;0;0;0;-1;7.90505e-323
3;30;6.84338e-10;6.51967e-09;0;10.8292;0;0;0;-1;7.90505e-323
4;30;7.90237e-09;0.001209;0;15.9709;0;0;0;-1;7.90505e-323
5;30;19.9999;20.0027;0;16.2126;0;0;0;-1;7.90505e-323
6;30;7.99092;10.5605;0;96.5736;0;0;0;-1;7.90505e-323
7;30;7.32075e-09;9.34499e-09;0;8.33328;0;0;0;-1;7.90505e-323
8;30;5.34044e-09;8.60981e-09;0;4.08317;0;0;0;-1;7.90505e-323
9;30;35.8199;47.9177;0;16.3192;0;0;0;-1;7.90505e-323
10;30;4.00541e-09;8.34874e-09;0;5.97011;0;0;0;-1;7.90505e-323
11;30;658.292;1514.02;0;18.0726;0;0;0;-1;7.90505e-323
12;30;0.0483926;0.0714714;0;38.0548;0;0;0;-1;7.90505e-323
13;30;0.104014;0.157339;0;16.0507;0;0;0;-1;7.90505e-323
14;30;0.133954;0.177901;0;16.232;0;0;0;-1;7.90505e-323
15;30;2.02849;3.07378;0;16.973;0;0;0;-1;7.90505e-323
16;30;7.94459;8.91121;0;16.9126;0;0;0;-1;7.90505e-323
17;30;377.183;3141.87;0;17.4251;0;0;0;-1;7.90505e-323
18;30;4.29016;8.41267;0;16.8828;0;0;0;-1;7.90505e-323
19;30;2.43526;3.81616;0;33.0767;0;0;0;-1;7.90505e-323
20;30;3.17223;9.76776;0;17.0925;0;0;0;-1;7.90505e-323
21;30;44.3198;866.771;0;17.3602;0;0;0;-1;7.90505e-323
22;30;20.7793;164.109;0;362.727;0;0;0;-1;7.90505e-323
23;30;315.244;315.244;0;590.797;0;0;0;-1;7.90505e-323
